d9_other_struct_public_field_ok	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
d9_public_field_ok	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
d9_public_field_unknown_base_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
d9_unknown_arg_type	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
fl_loop_float_assign_div_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
fl_neg_int_one_divisor_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
fl_structlit_arg_let_exprfn_call	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
fl_structlit_f64_field_true_assert_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
fl_structlit_int_field_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
fl_structlit_let_then_exprfn_call	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
fl_structlit_return_ensures_valid	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
fl_structlit_return_f64_field_ensures	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
h_apply_satisfied	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
h_apply_violated	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
h_call_satisfied	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
h_call_violated	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
h_map_satisfied	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
h_map_violated	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
m_arm_body_assert_deferred	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
m_direct_iflet_arm_violated	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
m_direct_match_arm_dead	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
m_direct_match_arm_guarded_ok	ACCEPT	ACCEPT	ACCEPT	ACCEPT: both accept
m_direct_match_arm_violated	REJECT	ACCEPT	DISPROVED	REJECT: v2 MISSES (lanes reject)
open_closure_returning_secret_fn	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_loop_reassign_after_use_secret	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ord3_alias_defer_capture_by_value	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_ord3_alias_defer_inner_capture	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_ord3_alias_defer_shadowed_formal	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_cb1_call_returns_printing_fn_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_cb2_apply_returns_printing_fn_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_lc1_valueblock_while_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_lc3_valueblock_whilelet_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_lc5_fn_valueblock_while_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_lc6_valueblock_for_scalar	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_ms10_index_assign_print_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_ms5_field_assign_print_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_ms6_field_literal_print_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_ms7_list_print_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_ms8_map_print_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_builtin_source_as_value	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_hof_named_fn_return_enforcing	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_implicit_exit_final_scope	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_implicit_exit_guard_positions	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_remove_key_not_source	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_sum_closure_binder_tail	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_sum_closure_binder_tail_taint	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_rc25_o3r_sum_closure_tail_drops_cond	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_reentry_closure_capturing_secret	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_ro1_alias_regression_unknown_set_capability	REJECT	ACCEPT	SEC_REJECT	REJECT: v2 MISSES (lanes reject)
open_ro1_alias_regression_unknown_set_secret	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ro1_call_targets_local_shadowing_user_fn	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ro1_closure_returning_function	REJECT	SEC_REJECT	ACCEPT	REJECT: v2 catches a lanes silent accept
open_ro1_enforcing_branch_join_drops_field_fn_identity	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ro1_fn_assigned_in_value_block_lost	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ro1_hof_builtin_capability_not_charged	REJECT	ACCEPT	SEC_REJECT	REJECT: v2 MISSES (lanes reject)
open_ro1_hof_builtin_local_fn_binding	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
open_ro1_implicit_flow_try_under_secret_branch	REJECT	SEC_REJECT	SEC_REJECT	REJECT: both reject
