name	check	run	class	detail
range	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
read_file	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
read_line	0	0	RUNS	
reduce	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
remove	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
remove_file	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
repeat	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
replace	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
return	0	0	RUNS	
reverse	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
round	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
secret_source	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
send	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sha256	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sha256_bytes	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sha256_hex	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
shell	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sign	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sin	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sink	0	0	RUNS	
slice	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sort	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sort_by	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
split	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sql	0	1	RUN_REFUSES	ANUBIS_UNSUPPORTED_NATIVE_LOWERING
sqrt	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
starts_with	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
str	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
substr	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
sum	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
symbolic	0	1	RUN_REFUSES	ANUBIS_UNSUPPORTED_NATIVE_LOWERING
system	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
taint_source	1	1	FAIL_CLOSED_OK	
take	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
take_while	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
tan	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
target_run	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
time	0	0	RUNS	
time_now	0	0	RUNS	
times	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
to_hex	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
trim	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
trunc	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
tuple_hash	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
type	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
unique	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
upper	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
values	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
window	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
words	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
write	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
write_file	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
x25519_keygen	0	0	RUNS	
x25519_public_key	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
x25519_shared	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
zip	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
