id	form	intent	source_sha256	rc	observed	result
r2arm_contract_call_scrutinee_satisfied	carrier	ACCEPT	20ecebde3b1d69b78db8ebe585a179b8839b7ccf9c41c5dafb84a8c631816919	0	ACCEPT	PASS
r2arm_contract_call_guard_satisfied	carrier	ACCEPT	0c8e879946058fea99751d7b0a449f313d86dc606d7e9f09775cefb2d3e4514f	0	ACCEPT	PASS
r2arm_iflet_scrutinee_call_satisfied	carrier	ACCEPT	8f00ae1338c9e40d013f66b195c55a083163d1bddf7c15dcd840ed9005c84330	0	ACCEPT	PASS
r2arm_contract_call_guard_short_circuit	carrier	ACCEPT	b253ffbfdee3f3e66a545499ada91d2f2170d12d384ca33a56db232f665a320a	0	ACCEPT	PASS
r2arm_contract_call_guard_after_wildcard	carrier	ACCEPT	e3e6e76666632977f965b40b4d09316569310b338cc57d1590d3705c93da0e04	0	ACCEPT	PASS
